Sequence ID,Model ID,Region of assignment,E-value of assignment,Superfamily ID,Superfamily description
,,,,,
gi|49475579|ref|YP_033620.1|,54768,Jan-53,2.01E-17,57829,Zn-binding ribosomal proteins
gi|49474833|ref|YP_032874.1|,46645,5-192,3.47E-45,52972,ITPase-like
gi|49474834|ref|YP_032875.1|,48416,113-281,3.72E-44,51735,NAD(P)-binding Rossmann-fold domains
gi|49474834|ref|YP_032875.1|,41590,12-111,1.09E-30,53223,"Aminoacid dehydrogenase-like, N-terminal domain"
gi|49474835|ref|YP_032876.1|,46315,1-190,1.95E-33,52540,P-loop containing nucleoside triphosphate hydrolases
gi|49474836|ref|YP_032877.1|,52620,1-169,6.01E-55,53098,Ribonuclease H-like
gi|49474837|ref|YP_032878.1|,43905,560-968,7.45E-149,56672,DNA/RNA polymerases
gi|49474837|ref|YP_032878.1|,35546,3-176,2.16E-49,88723,PIN domain-like
gi|49474837|ref|YP_032878.1|,47793,356-552,1.44E-46,53098,Ribonuclease H-like
gi|49474837|ref|YP_032878.1|,45961,177-291,1.79E-29,47807,"5' to 3' exonuclease, C-terminal subdomain"
gi|49474838|ref|YP_032879.1|,47330,41-286,3.66E-35,56219,DNase I-like
gi|49474840|ref|YP_032881.1|,42501,1-434,1.92E-27,103473,MFS general substrate transporter
gi|49474840|ref|YP_032881.1|,39877,434-611,0.0000837,69593,Glycerol-3-phosphate (1)-acyltransferase
gi|49474842|ref|YP_032883.1|,44596,117-278,7.85E-44,75217,alpha/beta knot
gi|49474842|ref|YP_032883.1|,39117,15-117,6.36E-24,55315,L30e-like
gi|49474843|ref|YP_032884.1|,53110,26-287,7.57E-59,53335,S-adenosyl-L-methionine-dependent methyltransferases
gi|49474845|ref|YP_032886.1|,39024,Jan-91,2.21E-29,47729,IHF-like DNA-binding proteins
gi|49474848|ref|YP_032889.1|,37958,28-259,3.48E-63,52540,P-loop containing nucleoside triphosphate hydrolases
gi|49474849|ref|YP_032890.1|,38790,1-145,1.31E-42,55804,Phoshotransferase/anion transport protein
gi|49474851|ref|YP_032892.1|,43105,134-368,3.63E-11,102114,Radical SAM enzymes
gi|49474853|ref|YP_032894.1|,39171,24-344,1.40E-52,52374,Nucleotidylyl transferase
gi|49474853|ref|YP_032894.1|,39170,343-547,1.23E-40,48163,An anticodon-binding domain of class I aminoacyl-tRNA synthetases
gi|49474854|ref|YP_032895.1|,52054,7-269,7.65E-83,52540,P-loop containing nucleoside triphosphate hydrolases
gi|49474854|ref|YP_032895.1|,52053,253-384,6.36E-28,50447,Translation proteins
gi|49474854|ref|YP_032895.1|,46824,384-456,1.69E-12,54980,EF-G C-terminal domain-like
gi|49474855|ref|YP_032896.1|,53013,3-106,2.02E-39,52833,Thioredoxin-like
gi|49474856|ref|YP_032897.1|,48956,"17-76,115-198,338-807,851-876",4.69E-105,52540,P-loop containing nucleoside triphosphate hydrolases
gi|49474856|ref|YP_032897.1|,50352,957-1126,2.04E-10,52980,Restriction endonuclease-like
gi|49474857|ref|YP_032898.1|,50354,358-731,9.74E-36,52540,P-loop containing nucleoside triphosphate hydrolases
gi|49474858|ref|YP_032899.1|,39624,649-814,8.64E-38,55874,ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
gi|49474858|ref|YP_032899.1|,52096,575-660,3.14E-20,47384,Homodimeric domain of signal transducing histidine kinase
gi|49474858|ref|YP_032899.1|,48459,215-308,1.88E-08,55785,PYP-like sensor domain (PAS domain)
gi|49474859|ref|YP_032900.1|,34926,"2-142,178-225,386-465",2.15E-109,52283,Formate/glycerate dehydrogenase catalytic domain-like
gi|49474859|ref|YP_032900.1|,50090,226-385,2.28E-74,51735,NAD(P)-binding Rossmann-fold domains
gi|49474860|ref|YP_032901.1|,43042,14-293,1.91E-44,51735,NAD(P)-binding Rossmann-fold domains
gi|49474861|ref|YP_032902.1|,41699,6-291,2.40E-80,53623,"MurD-like peptide ligases, catalytic domain"
gi|49474861|ref|YP_032902.1|,52865,291-433,4.81E-22,53244,"MurD-like peptide ligases, peptide-binding domain"
gi|49474862|ref|YP_032903.1|,52629,25-282,1.74E-78,52096,ClpP/crotonase
gi|49474864|ref|YP_032905.1|,42209,237-455,5.62E-67,102645,CoaB-like
gi|49474864|ref|YP_032905.1|,42145,54-234,7.72E-53,52507,"Homo-oligomeric flavin-containing Cys decarboxylases, HFCD"
gi|49474864|ref|YP_032905.1|,52039,Feb-42,1.39E-10,47598,Ribbon-helix-helix
gi|49474865|ref|YP_032906.1|,54547,"96-162,197-436",2.02E-34,56112,Protein kinase-like (PK-like)
gi|49474866|ref|YP_032907.1|,45060,21-252,1.53E-43,53335,S-adenosyl-L-methionine-dependent methyltransferases
gi|49474867|ref|YP_032908.1|,35588,"405-571,736-801",1.31E-84,56719,Type II DNA topoisomerase
gi|49474867|ref|YP_032908.1|,43464,14-220,9.17E-70,55874,ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
gi|49474867|ref|YP_032908.1|,40104,232-402,1.63E-60,54211,Ribosomal protein S5 domain 2-like
gi|49474868|ref|YP_032909.1|,40650,58-286,2.50E-39,53850,Periplasmic binding protein-like II
gi|49474869|ref|YP_032910.1|,37996,189-502,4.75E-47,52540,P-loop containing nucleoside triphosphate hydrolases
gi|49474869|ref|YP_032910.1|,50966,8-169,1.29E-29,54211,Ribosomal protein S5 domain 2-like
gi|49474872|ref|YP_032913.1|,54811,337-582,3.62E-91,52540,P-loop containing nucleoside triphosphate hydrolases
gi|49474872|ref|YP_032913.1|,54812,18-327,7.85E-57,90123,ABC transporter transmembrane region
gi|49474873|ref|YP_032914.1|,53103,86-170,2.09E-32,55200,"Translation initiation factor IF3, C-terminal domain"
gi|49474873|ref|YP_032914.1|,44019,Aug-82,7.59E-27,54364,"Translation initiation factor IF3, N-terminal domain"
gi|49474874|ref|YP_032915.1|,49631,11-255,1.88E-32,53474,alpha/beta-Hydrolases
gi|49474876|ref|YP_032917.1|,47971,"6-185,308-388",1.39E-61,53187,Zn-dependent exopeptidases
gi|49474876|ref|YP_032917.1|,50177,186-283,5.10E-23,55031,Bacterial exopeptidase dimerisation domain
